,VARNAME,NUMBER,BEGIN,END,DOTS,ASSIGN,LPAREN,RPAREN,MINUS,PLUS,TIMES,DIVIDE,IF,THEN,ELSE,AND,OR,LBRACK,RBRACK,EQUAL,SMALLER,WHILE,DO,PRINT,READ,EPSILON,EOF
PROGRAM,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CODE,2,,2,3,,,,,,,,,2,,,,,,,,,2,,2,2,,
INSTLIST,4,,4,,,,,,,,,,4,,,,,,,,,4,,4,4,,
INSTTAIL,,,,6,5,,,,,,,,,,,,,,,,,,,,,,
INSTRUCTION,7,,12,,,,,,,,,,8,,,,,,,,,9,,10,11,,
ASSIGN,13,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRARITH,14,14,,,,,14,,14,,,,,,,,,,,,,,,,,,
EXPRARITHPRIME,,,,17,17,,,17,16,15,,,,17,17,17,17,,17,17,17,,17,,,,
PROD,18,18,,,,,18,,18,,,,,,,,,,,,,,,,,,
PRODPRIME,,,,21,21,,,21,21,21,19,20,,21,21,21,21,,21,21,21,,21,,,,
ATOM,22,23,,,,,24,,25,,,,,,,,,,,,,,,,,,
IF,,,,,,,,,,,,,26,,,,,,,,,,,,,,
ELSETAIL,27,,27,28,28,,,,,,,,27,,28,,,,,,,27,,27,27,,
COND,29,29,,,,,29,,29,,,,,,,,,29,,,,,,,,,
CONDPRIME,,,,,,,,,,,,,,31,,,30,,31,,,,31,,,,
AND,32,32,,,,,32,,32,,,,,,,,,32,,,,,,,,,
ANDPRIME,,,,,,,,,,,,,,34,,33,34,,34,,,,34,,,,
CONDATOM,36,36,,,,,36,,36,,,,,,,,,35,,,,,,,,,
COMP,,,,,,,,,,,,,,,,,,,,37,38,,,,,,
WHILE,,,,,,,,,,,,,,,,,,,,,,39,,,,,
PRINT,,,,,,,,,,,,,,,,,,,,,,,,40,,,
READ,,,,,,,,,,,,,,,,,,,,,,,,,41,,
