Variable,FIRST
PROGRAM,"{<Terminals.BEGIN: ('begin',)>}"
CODE,"{<Terminals.READ: ('read',)>, <Terminals.EPSILON: ('eps',)>, <Terminals.PRINT: ('print',)>, <Terminals.WHILE: ('while',)>, <Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.IF: ('if',)>}"
INSTLIST,"{<Terminals.READ: ('read',)>, <Terminals.PRINT: ('print',)>, <Terminals.WHILE: ('while',)>, <Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.IF: ('if',)>}"
INSTTAIL,"{<Terminals.EPSILON: ('eps',)>, <Terminals.DOTS: ('...',)>}"
INSTRUCTION,"{<Terminals.READ: ('read',)>, <Terminals.PRINT: ('print',)>, <Terminals.WHILE: ('while',)>, <Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.IF: ('if',)>}"
ASSIGN,"{<Terminals.VARNAME: ('[VarName]',)>}"
EXPRARITH,"{<Terminals.NUMBER: ('[Number]',)>, <Terminals.MINUS: ('-',)>, <Terminals.LPAREN: ('(',)>, <Terminals.VARNAME: ('[VarName]',)>}"
EXPRARITHPRIME,"{<Terminals.PLUS: ('+',)>, <Terminals.EPSILON: ('eps',)>, <Terminals.MINUS: ('-',)>}"
PROD,"{<Terminals.NUMBER: ('[Number]',)>, <Terminals.MINUS: ('-',)>, <Terminals.LPAREN: ('(',)>, <Terminals.VARNAME: ('[VarName]',)>}"
PRODPRIME,"{<Terminals.DIVIDE: ('/',)>, <Terminals.EPSILON: ('eps',)>, <Terminals.TIMES: ('*',)>}"
ATOM,"{<Terminals.NUMBER: ('[Number]',)>, <Terminals.MINUS: ('-',)>, <Terminals.LPAREN: ('(',)>, <Terminals.VARNAME: ('[VarName]',)>}"
IF,"{<Terminals.IF: ('if',)>}"
ELSETAIL,"{<Terminals.READ: ('read',)>, <Terminals.EPSILON: ('eps',)>, <Terminals.PRINT: ('print',)>, <Terminals.WHILE: ('while',)>, <Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.IF: ('if',)>}"
COND,"{<Terminals.LBRACK: ('{',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.VARNAME: ('[VarName]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.MINUS: ('-',)>}"
CONDPRIME,"{<Terminals.OR: ('or',)>, <Terminals.EPSILON: ('eps',)>}"
AND,"{<Terminals.LBRACK: ('{',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.VARNAME: ('[VarName]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.MINUS: ('-',)>}"
ANDPRIME,"{<Terminals.EPSILON: ('eps',)>, <Terminals.AND: ('and',)>}"
CONDATOM,"{<Terminals.LBRACK: ('{',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.VARNAME: ('[VarName]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.MINUS: ('-',)>}"
COMP,"{<Terminals.SMALLER: ('<',)>, <Terminals.EQUAL: ('=',)>}"
WHILE,"{<Terminals.WHILE: ('while',)>}"
PRINT,"{<Terminals.PRINT: ('print',)>}"
READ,"{<Terminals.READ: ('read',)>}"
