Variable,FIRST
<PROGRAM>,['begin']
<CODE>,"['eps', 'begin', 'while', 'read', '[VarName]', 'print', 'if']"
<INSTLIST>,"['begin', 'while', 'read', '[VarName]', 'print', 'if']"
<INSTTAIL>,"['eps', '...']"
<INSTRUCTION>,"['begin', 'read', 'print', 'while', '[VarName]', 'if']"
<ASSIGN>,['[VarName]']
<EXPRARITH>,"['(', '[VarName]', '-', '[Number]']"
<EXPRARITHPRIME>,"['-', '+', 'eps']"
<PROD>,"['(', '[VarName]', '-', '[Number]']"
<PRODPRIME>,"['*', 'eps', '/']"
<ATOM>,"['(', '[VarName]', '-', '[Number]']"
<IF>,['if']
<ELSETAIL>,"['eps', 'begin', 'while', 'read', '[VarName]', 'print', 'if']"
<COND>,"['(', '{', '[Number]', '[VarName]', '-']"
<CONDPRIME>,"['eps', 'or']"
<AND>,"['(', '{', '[Number]', '[VarName]', '-']"
<ANDPRIME>,"['and', 'eps']"
<CONDATOM>,"['(', '{', '[Number]', '[VarName]', '-']"
<COMP>,"['=', '<']"
