Variable,FOLLOW
<PROGRAM>,['$']
<CODE>,['end']
<INSTLIST>,['end']
<INSTTAIL>,['end']
<INSTRUCTION>,"['...', 'end', 'else', 'eps']"
<ASSIGN>,"['else', '...', 'eps', 'end']"
<EXPRARITH>,"['*', '...', 'eps', '<', '+', '-', '=', '/', 'else', ')', 'end']"
<EXPRARITHPRIME>,"['...', 'end', 'else', ')', 'eps']"
<PROD>,"['...', '+', '-', 'end', 'else', ')', 'eps']"
<PRODPRIME>,"['...', 'eps', 'else', ')', '+', 'end', '-']"
<ATOM>,"['*', '...', '+', '-', 'end', '/', 'else', ')', 'eps']"
<IF>,"['else', '...', 'eps', 'end']"
<ELSETAIL>,"['else', '...', 'eps', 'end']"
<COND>,"['then', 'do', '}']"
<CONDPRIME>,"['then', 'do', '}']"
<AND>,"['then', '}', 'do', 'or', 'eps']"
<ANDPRIME>,"['then', '}', 'do', 'or', 'eps']"
<CONDATOM>,"['}', 'do', 'then', 'and', 'or', 'eps']"
<COMP>,"['[VarName]', '(', '[Number]', '-']"
