Variable,FIRST
PROGRAM,"{<Terminals.BEGIN: ('begin',)>}"
CODE,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.PRINT: ('print',)>, <Terminals.IF: ('if',)>, <Terminals.READ: ('read',)>, <Terminals.WHILE: ('while',)>, <Terminals.EPSILON: ('eps',)>}"
INSTLIST,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.PRINT: ('print',)>, <Terminals.IF: ('if',)>, <Terminals.READ: ('read',)>, <Terminals.WHILE: ('while',)>}"
INSTTAIL,"{<Terminals.EPSILON: ('eps',)>, <Terminals.DOTS: ('...',)>}"
INSTRUCTION,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.IF: ('if',)>, <Terminals.READ: ('read',)>, <Terminals.PRINT: ('print',)>, <Terminals.WHILE: ('while',)>}"
ASSIGN,"{<Terminals.VARNAME: ('[VarName]',)>}"
EXPRARITH,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.MINUS: ('-',)>}"
EXPRARITHPRIME,"{<Terminals.EPSILON: ('eps',)>, <Terminals.MINUS: ('-',)>, <Terminals.PLUS: ('+',)>}"
PROD,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.MINUS: ('-',)>}"
PRODPRIME,"{<Terminals.TIMES: ('*',)>, <Terminals.EPSILON: ('eps',)>, <Terminals.DIVIDE: ('/',)>}"
ATOM,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.MINUS: ('-',)>}"
IF,"{<Terminals.IF: ('if',)>}"
ELSETAIL,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.BEGIN: ('begin',)>, <Terminals.PRINT: ('print',)>, <Terminals.IF: ('if',)>, <Terminals.READ: ('read',)>, <Terminals.WHILE: ('while',)>, <Terminals.EPSILON: ('eps',)>}"
COND,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.LBRACK: ('{',)>, <Terminals.MINUS: ('-',)>}"
CONDPRIME,"{<Terminals.EPSILON: ('eps',)>, <Terminals.OR: ('or',)>}"
AND,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.LBRACK: ('{',)>, <Terminals.MINUS: ('-',)>}"
ANDPRIME,"{<Terminals.EPSILON: ('eps',)>, <Terminals.AND: ('and',)>}"
CONDATOM,"{<Terminals.VARNAME: ('[VarName]',)>, <Terminals.NUMBER: ('[Number]',)>, <Terminals.LPAREN: ('(',)>, <Terminals.LBRACK: ('{',)>, <Terminals.MINUS: ('-',)>}"
COMP,"{<Terminals.SMALLER: ('<',)>, <Terminals.EQUAL: ('=',)>}"
