Variable,FIRST
<PROGRAM>,['begin']
<CODE>,"['print', 'begin', 'eps', 'if', 'read', '[VarName]', 'while']"
<INSTLIST>,"['print', 'begin', 'if', 'read', '[VarName]', 'while']"
<INSTTAIL>,"['...', 'eps']"
<INSTRUCTION>,"['if', 'read', 'print', '[VarName]', 'begin', 'while']"
<ASSIGN>,['[VarName]']
<EXPRARITH>,"['(', '[VarName]', '[Number]', '-']"
<EXPRARITHPRIME>,"['eps', '+', '-']"
<PROD>,"['(', '[VarName]', '[Number]', '-']"
<PRODPRIME>,"['/', 'eps', '*']"
<ATOM>,"['(', '[VarName]', '[Number]', '-']"
<IF>,['if']
<ELSETAIL>,"['print', 'begin', 'eps', 'if', 'read', '[VarName]', 'while']"
<COND>,"['-', '{', '(', '[VarName]', '[Number]']"
<CONDPRIME>,"['or', 'eps']"
<AND>,"['-', '{', '(', '[VarName]', '[Number]']"
<ANDPRIME>,"['and', 'eps']"
<CONDATOM>,"['-', '{', '(', '[VarName]', '[Number]']"
<COMP>,"['=', '<']"
