Variable,FOLLOW
<PROGRAM>,['$']
<CODE>,['end']
<INSTLIST>,['end']
<INSTTAIL>,['end']
<INSTRUCTION>,"['else', '...', 'end']"
<ASSIGN>,"['else', '...', 'end']"
<EXPRARITH>,"['/', '...', '*', '-', ')', 'else', '<', '+', '=', 'end']"
<EXPRARITHPRIME>,"['else', '...', 'end', ')']"
<PROD>,"['...', '-', ')', 'else', '+', 'end']"
<PRODPRIME>,"['else', '...', '-', 'end', '+', ')']"
<ATOM>,"['/', '...', '*', '-', ')', 'else', '+', 'end']"
<IF>,"['else', '...', 'end']"
<ELSETAIL>,"['else', '...', 'end']"
<COND>,"['then', 'do', '}']"
<CONDPRIME>,"['then', 'do', '}']"
<AND>,"['or', 'then', '}', 'do']"
<ANDPRIME>,"['then', 'or', '}', 'do']"
<CONDATOM>,"['or', '}', 'and', 'do', 'then']"
<COMP>,"['(', '[VarName]', '[Number]', '-']"
